,Functional Annotation Group,Functional Annotation Subgroup,keggBriteId,Functional Annotation
98,Diseases,Human diseases,8403,Human diseases in ICD-11 classification
99,Diseases,Human diseases,8411,ICD-11 International Classification of Diseases
100,Diseases,Human diseases,8410,ICD-10 International Classification of Diseases
101,Diseases,Human diseases,8420,ICD-O-3 International Classification of Diseases for Oncology
102,Organisms and Cells,Organisms,8601,KEGG organisms
103,Organisms and Cells,Organisms,8601_key,KEGG organisms + Keywords
104,Organisms and Cells,Organisms,8610,KEGG organisms in the NCBI taxonomy
105,Organisms and Cells,Organisms,8620,KEGG viruses in the NCBI taxonomy
106,Organisms and Cells,Organisms,8602,Animal classification
107,Organisms and Cells,Organisms,8603,Plant classification
108,Organisms and Cells,Organisms,8605,Plant pathogens
109,Organisms and Cells,Organisms,8607,Endosymbionts
110,Organisms and Cells,"Cells, tissues, and organs",8501,Human organ systems
111,Organisms and Cells,"Cells, tissues, and organs",8502,Human cells
